,crime_type,crime_category,date,address,y_lon,x_lat,neighborhood
242642,homicide-other,murder,2020-11-17 12:18:00,1900 BLOCK 29TH ST,-104.9880703,39.765431,five-points
242643,homicide-other,murder,2017-06-24 02:08:00,2105 E BUCHTEL BLVD,-104.9623777,39.6840587,university
242644,homicide-other,murder,2017-09-25 21:27:00,,-104.9919289,39.6752568,overland
242645,homicide-other,murder,2020-05-30 20:06:00,838 S ONEIDA ST,-104.9062931,39.7010762,washington-virginia-vale
242646,homicide-other,murder,2018-11-19 21:38:00,1200 BLK 21ST ST,-104.9906244,39.7531955,five-points
242647,homicide-other,murder,2018-02-03 22:06:00,,-104.835402,39.7854112,montbello
242648,homicide-other,murder,2021-11-27 01:26:00,,-105.0354805,39.6640768,harvey-park-south
242649,homicide-other,murder,2017-10-02 00:49:00,3900 BLOCK N LIPAN ST,-105.0014796,39.770655,sunnyside
242650,homicide-other,murder,2021-05-30 19:04:00,200 BLOCK S PLATTE RIVER DR,-105.000996,39.7121459,valverde
242651,homicide-other,murder,2019-05-10 19:05:00,2300 BLK GLENARM PL / WELTON ST,-104.9813451,39.750794,five-points
242652,homicide-other,murder,2017-08-08 11:52:00,10500 BLOCK E 40TH AVE,-104.8647437,39.7728517,central-park
242653,homicide-other,murder,2019-12-15 05:39:00,4800 N WASHINGTON ST,-104.977509,39.7835415,globeville
242654,homicide-other,murder,2021-11-18 23:08:00,1178 N VINE ST,-104.9618993,39.7348803,cheesman-park
242655,homicide-other,murder,2018-06-07 21:57:00,,-104.8417135,39.7881562,montbello
242656,homicide-other,murder,2018-04-30 21:48:00,,-104.9768149,39.7473534,five-points
242657,homicide-other,murder,2018-01-14 19:33:00,,-105.0253701,39.7057569,westwood
242658,homicide-other,murder,2021-08-02 05:48:00,8400 E LOWRY BLVD,-104.8892457,39.7205355,lowry-field
242659,homicide-other,murder,2018-07-01 01:15:00,,-104.9680541,39.7705197,cole
242660,homicide-other,murder,2019-09-02 00:47:00,,-104.9499452,39.7915199,elyria-swansea
242661,homicide-other,murder,2017-02-07 01:19:00,1198 N SHERIDAN BLVD,-105.0529664,39.7351105,west-colfax
242662,homicide-other,murder,2020-12-25 09:15:00,440 14TH ST,-104.992671,39.7416687,cbd
242663,homicide-other,murder,2018-01-05 22:40:00,3759 CHESTNUT PL,-104.9775391,39.7742573,five-points
242664,homicide-other,murder,2018-01-28 08:02:00,6677 LEETSDALE DR,-104.9105773,39.7021547,washington-virginia-vale
242665,homicide-other,murder,2018-11-02 19:57:00,1413 N DOWNING ST,-104.9733273,39.7386683,capitol-hill
242666,homicide-other,murder,2020-07-23 18:04:00,1449 N LINCOLN ST,-104.9862773,39.7392362,capitol-hill
242667,homicide-other,murder,2019-11-27 14:19:00,7675 E COLFAX AVE,-104.8990929,39.7404759,east-colfax
242668,homicide-other,murder,2020-01-01 01:44:00,,-105.0532033,39.6822866,harvey-park
242669,homicide-other,murder,2020-07-05 00:00:00,,-104.8464479,39.7818713,montbello
242670,homicide-other,murder,2018-09-07 18:03:00,,-104.9257729,39.7583737,north-park-hill
242671,homicide-other,murder,2018-09-07 22:05:00,,-105.0189836,39.7705082,sunnyside
242672,homicide-other,murder,2019-04-19 05:10:00,300 BLK S JASMINE ST,-104.9191047,39.709733,washington-virginia-vale
